Year	Month	Day	Hour	Minute	Second	Catalog	Saros	Type	Gamma
-10221	11	12	06	24	53	-151145	-256	A	0.6992
-10220	5	6	07	39	03	-151139	-251	T	-0.8235
-10220	10	31	11	30	40	-151133	-246	A	-0.0128
-10219	4	25	23	27	06	-151127	-241	T	-0.0722
-10219	10	20	11	05	14	-151121	-236	A	-0.7145
-10218	4	15	16	18	23	-151115	-231	T	0.6667
-10218	9	9	20	57	18	-151110	-264	P	1.5300
-10218	10	9	12	25	59	-151109	-226	P	-1.3704
-10217	3	6	18	41	40	-151104	-259	P	-1.2089
-10217	4	5	05	34	03	-151103	-221	P	1.4734
-10217	8	30	08	33	47	-151098	-254	T	0.7966
-10216	2	23	21	52	08	-151092	-249	A	-0.4627
-10216	8	18	23	55	02	-151086	-244	T	0.1274
-10215	2	11	22	41	03	-151080	-239	A	0.3096
-10215	8	8	14	19	53	-151074	-234	H	-0.5545
-10214	2	1	04	21	10	-151068	-229	P	1.0615
-10214	7	28	23	21	59	-151062	-224	P	-1.2987
-10214	12	23	09	33	24	-151057	-257	T	-0.7992
-10213	6	18	06	42	03	-151051	-252	A	0.9891
-10213	12	13	02	21	52	-151045	-247	T	-0.0826
-10212	6	6	08	01	08	-151039	-242	A	0.2555
-10212	12	1	16	15	35	-151033	-237	H	0.6682
-10211	5	26	16	24	24	-151027	-232	T	-0.4860
-10211	10	22	06	25	08	-151022	-265	P	-1.5032
-10211	11	20	23	21	03	-151021	-227	P	1.4552
-10210	4	16	23	38	20	-151016	-260	P	1.3604
-10210	5	16	07	05	47	-151015	-222	P	-1.1745
-10210	10	11	05	35	32	-151010	-255	A	-0.8273
-10209	4	6	16	00	52	-151004	-250	T	0.6578
-10209	9	30	08	35	08	-150998	-245	A	-0.1085
-10208	3	26	03	35	53	-150992	-240	A	-0.1084
-10208	9	18	18	49	37	-150986	-235	T	0.5809
-10207	3	15	08	01	21	-150980	-230	A	-0.9100
-10207	8	9	22	48	21	-150975	-263	P	-1.4764
-10207	9	8	09	45	25	-150974	-225	P	1.2172
-10206	2	2	19	06	41	-150969	-258	P	1.1372
-10206	7	30	12	08	21	-150963	-253	A	-0.8588
-10205	1	23	02	45	23	-150957	-248	T	0.3194
-10205	7	19	19	08	24	-150951	-243	A	-0.1789
-10204	1	12	16	59	30	-150945	-238	T	-0.4434
-10204	7	7	19	34	53	-150939	-233	A	0.5209
-10204	12	3	01	52	26	-150934	-266	P	1.4046
-10203	1	1	10	02	35	-150933	-228	P	-1.1632
-10203	6	26	19	38	43	-150927	-223	P	1.1974
-10203	11	22	14	03	45	-150922	-256	A	0.7342
-10202	5	17	15	10	41	-150916	-251	T	-0.8705
-10202	11	11	18	54	22	-150910	-246	A	0.0146
-10201	5	7	07	00	59	-150904	-241	T	-0.1293
-10201	10	31	18	31	38	-150898	-236	A	-0.6940
-10200	4	25	23	38	13	-150892	-231	T	0.6052
-10200	9	20	05	20	24	-150887	-264	P	1.5209
-10200	10	19	20	19	36	-150886	-226	P	-1.3571
-10199	3	17	01	05	04	-150881	-259	P	-1.2954
-10199	4	15	12	23	43	-150880	-221	P	1.4089
-10199	9	9	17	17	59	-150875	-254	T	0.7886
-10198	3	6	03	52	54	-150869	-249	A	-0.5532
-10198	8	30	08	42	52	-150863	-244	T	0.1218
-10197	2	23	04	50	23	-150857	-239	A	0.2216
-10197	8	19	22	55	22	-150851	-234	H	-0.5616
-10196	2	12	11	01	19	-150845	-229	A	0.9798
-10196	8	8	07	29	56	-150839	-224	P	-1.3036
-10195	1	2	17	04	24	-150834	-257	T	-0.8552
-10195	6	28	14	00	11	-150828	-252	?	1.0137
-10195	12	23	09	59	08	-150822	-247	T	-0.1340
-10194	6	17	15	28	34	-150816	-242	A	0.2851
-10194	12	12	23	43	00	-150810	-237	H	0.6256
-10193	6	7	00	08	19	-150804	-232	T	-0.4488
-10193	11	2	13	51	23	-150799	-265	P	-1.5252
-10193	12	2	06	29	34	-150798	-227	P	1.4185
-10192	4	27	07	06	29	-150793	-260	P	1.4193
-10192	5	26	14	55	31	-150792	-222	P	-1.1317
-10192	10	21	13	11	36	-150787	-255	A	-0.8393
-10191	4	16	23	10	17	-150781	-250	T	0.7273
-10191	10	10	16	42	45	-150775	-245	A	-0.1114
-10190	4	6	10	12	28	-150769	-240	A	-0.0311
-10190	9	30	03	25	03	-150763	-235	T	0.5818
-10189	3	26	14	06	57	-150757	-230	A	-0.8244
-10189	8	21	07	34	26	-150752	-263	P	-1.4733
-10189	9	19	18	33	15	-150751	-225	P	1.2224
-10188	2	14	01	23	01	-150746	-258	P	1.2180
-10188	8	9	20	35	00	-150740	-253	A	-0.8587
-10187	2	2	09	36	58	-150734	-248	T	0.3935
-10187	7	30	03	03	52	-150728	-243	A	-0.1839
-10186	1	23	00	17	11	-150722	-238	T	-0.3749
-10186	7	19	03	08	48	-150716	-233	A	0.5077
-10186	12	14	09	35	05	-150711	-266	P	1.4519
-10185	1	12	17	29	06	-150710	-228	P	-1.1041
-10185	7	8	03	16	34	-150704	-223	P	1.1759
-10185	12	3	21	32	08	-150699	-256	A	0.7768
-10184	5	27	22	52	27	-150693	-251	T	-0.9100
-10184	11	22	02	04	39	-150687	-246	A	0.0522
-10183	5	17	14	44	21	-150681	-241	T	-0.1785
-10183	11	11	01	47	09	-150675	-236	A	-0.6647
-10182	5	7	07	05	35	-150669	-231	T	0.5507
-10182	10	1	13	39	50	-150664	-264	P	1.5156
-10182	10	31	04	05	44	-150663	-226	P	-1.3368
-10181	3	28	07	29	47	-150658	-259	P	-1.3793
-10181	4	26	19	18	39	-150657	-221	P	1.3498
-10181	9	21	02	00	48	-150652	-254	T	0.7825
-10180	3	16	09	52	01	-150646	-249	A	-0.6446
-10180	9	9	17	31	39	-150640	-244	T	0.1154
-10179	3	5	10	58	54	-150634	-239	A	0.1319
-10179	8	30	07	32	00	-150628	-234	H	-0.5704
-10178	2	22	17	41	16	-150622	-229	T	0.8966
-10178	8	19	15	41	13	-150616	-224	P	-1.3120
-10177	1	14	00	29	46	-150611	-257	T	-0.9160
-10177	7	9	21	27	25	-150605	-252	P	1.0309
-10176	1	3	17	28	46	-150599	-247	T	-0.1913
-10176	6	27	23	06	26	-150593	-242	A	0.3070
-10176	12	23	06	59	23	-150587	-237	H	0.5751
-10175	6	17	08	03	00	-150581	-232	T	-0.4197
-10175	11	12	21	07	39	-150576	-265	P	-1.5545
-10175	12	12	13	27	27	-150575	-227	P	1.3738
-10174	5	8	14	42	01	-150570	-260	P	1.4720
-10174	6	6	22	54	05	-150569	-222	P	-1.0960
-10174	11	1	20	40	34	-150564	-255	A	-0.8574
-10173	4	28	06	25	29	-150558	-250	T	0.7910
-10173	10	22	00	44	27	-150552	-245	A	-0.1199
-10172	4	16	16	52	13	-150546	-240	A	0.0421
-10172	10	10	11	55	12	-150540	-235	T	0.5779
-10171	4	5	20	16	41	-150534	-230	A	-0.7426
-10171	8	31	16	20	29	-150529	-263	P	-1.4700
-10171	9	30	03	15	46	-150528	-225	P	1.2237
-10170	2	24	07	40	35	-150523	-258	P	1.2981
-10170	3	25	20	53	44	-150522	-220	P	-1.4864
-10170	8	21	05	04	04	-150517	-253	A	-0.8556
-10169	2	13	16	27	03	-150511	-248	T	0.4697
-10169	8	10	11	04	14	-150505	-243	A	-0.1840
-10168	2	3	07	29	55	-150499	-238	T	-0.3017
-10168	7	29	10	51	05	-150493	-233	A	0.5013
-10168	12	24	17	06	03	-150488	-266	P	1.5079
-10167	1	23	00	47	07	-150487	-228	P	-1.0385
-10167	7	18	11	05	48	-150481	-223	P	1.1627
-10167	12	14	04	48	55	-150476	-256	A	0.8278
-10166	6	8	06	44	23	-150470	-251	T	-0.9418
-10166	12	3	09	05	13	-150464	-246	A	0.0973
-10165	5	28	22	35	49	-150458	-241	T	-0.2207
-10165	11	22	08	54	14	-150452	-236	A	-0.6274
-10164	5	17	14	38	37	-150446	-231	T	0.5014
-10164	10	11	21	55	32	-150441	-264	P	1.5144
-10164	11	10	11	44	41	-150440	-226	P	-1.3094
-10163	4	7	13	56	28	-150435	-259	P	-1.4604
-10163	5	7	02	18	58	-150434	-221	P	1.2952
-10163	10	1	10	39	37	-150429	-254	T	0.7805
-10162	3	27	15	55	28	-150423	-249	A	-0.7321
-10162	9	21	02	17	49	-150417	-244	T	0.1114
-10161	3	16	17	11	03	-150411	-239	A	0.0441
-10161	9	10	16	07	07	-150405	-234	A	-0.5785
-10160	3	5	00	23	12	-150399	-229	T	0.8133
-10160	8	29	23	52	13	-150393	-224	P	-1.3206
-10159	1	24	07	48	49	-150388	-257	T	-0.9826
-10159	2	22	14	26	32	-150387	-219	P	1.5146
-10159	7	20	05	04	31	-150382	-252	P	1.0406
-10158	1	14	00	50	18	-150376	-247	T	-0.2552
-10158	7	9	06	55	15	-150370	-242	A	0.3210
-10157	1	3	14	05	50	-150364	-237	H	0.5170
-10157	6	28	16	08	51	-150358	-232	T	-0.3988
-10157	12	23	20	12	20	-150352	-227	P	1.3191
-10156	5	18	22	25	00	-150347	-260	P	1.5186
-10156	6	17	07	02	37	-150346	-222	P	-1.0685
-10156	11	12	04	00	14	-150341	-255	A	-0.8836
-10155	5	8	13	46	27	-150335	-250	T	0.8487
-10155	11	1	08	39	09	-150329	-245	A	-0.1352
-10154	4	27	23	37	02	-150323	-240	A	0.1100
-10154	10	21	20	21	02	-150317	-235	T	0.5699
-10153	4	17	02	29	30	-150311	-230	A	-0.6634
-10153	9	12	01	07	01	-150306	-263	P	-1.4662
-10153	10	11	11	55	05	-150305	-225	P	1.2227
-10152	3	6	13	59	13	-150300	-258	P	1.3781
-10152	4	5	03	06	34	-150299	-220	P	-1.4025
-10152	8	31	13	33	40	-150294	-253	A	-0.8514
-10151	2	23	23	17	22	-150288	-248	T	0.5470
-10151	8	20	19	06	47	-150282	-243	A	-0.1817
-10150	2	13	14	42	02	-150276	-238	T	-0.2273
-10150	8	9	18	37	43	-150270	-233	A	0.4982
-10149	2	3	08	02	10	-150264	-228	T	-0.9706
-10149	7	29	19	02	54	-150258	-223	P	1.1550
-10149	12	25	11	54	04	-150253	-256	A	0.8873
-10148	6	18	14	47	03	-150247	-251	T	-0.9659
-10148	12	13	15	53	01	-150241	-246	A	0.1522
-10147	6	8	06	37	13	-150235	-241	T	-0.2550
-10147	12	2	15	50	09	-150229	-236	A	-0.5804
-10146	5	28	22	20	53	-150223	-231	T	0.4604
-10146	10	23	06	05	16	-150218	-264	P	1.5191
-10146	11	21	19	15	29	-150217	-226	P	-1.2741
-10145	4	18	20	26	07	-150212	-259	P	-1.5377
-10145	5	18	09	25	27	-150211	-221	P	1.2463
-10145	10	12	19	14	15	-150206	-254	T	0.7828
-10144	4	6	22	01	36	-150200	-249	A	-0.8171
-10144	10	1	10	59	53	-150194	-244	T	0.1107
-10143	3	26	23	27	02	-150188	-239	A	-0.0416
-10143	9	21	00	40	00	-150182	-234	A	-0.5856
-10142	3	16	07	08	19	-150176	-229	T	0.7312
-10142	9	10	08	02	21	-150170	-224	P	-1.3292
-10141	2	4	15	04	56	-150165	-257	P	-1.0519
-10141	3	5	21	32	56	-150164	-219	P	1.4379
-10141	7	31	12	49	20	-150159	-252	P	1.0444
-10140	1	25	08	04	32	-150153	-247	T	-0.3247
-10140	7	19	14	53	46	-150147	-242	A	0.3281
-10139	1	13	21	03	05	-150141	-237	H	0.4522
-10139	7	9	00	23	38	-150135	-232	T	-0.3846
-10138	1	3	02	48	17	-150129	-227	P	1.2577
-10138	6	28	15	20	04	-150123	-222	P	-1.0482
-10138	11	23	11	12	13	-150118	-255	A	-0.9165
-10137	5	19	21	13	49	-150112	-250	T	0.9001
-10137	11	12	16	26	39	-150106	-245	A	-0.1575
-10136	5	8	06	28	03	-150100	-240	A	0.1716
-10136	11	1	04	37	47	-150094	-235	T	0.5538
-10135	4	27	08	50	44	-150088	-230	A	-0.5911
-10135	9	22	09	50	00	-150083	-263	P	-1.4654
-10135	10	21	20	26	27	-150082	-225	P	1.2153
-10134	3	17	20	22	29	-150077	-258	P	1.4548
-10134	4	16	09	28	06	-150076	-220	P	-1.3243
-10134	9	11	22	01	10	-150071	-253	A	-0.8482
-10133	3	7	06	09	36	-150065	-248	T	0.6236
-10133	9	1	03	10	58	-150059	-243	A	-0.1771
-10132	2	24	21	50	35	-150053	-238	T	-0.1497
-10132	8	20	02	30	12	-150047	-233	A	0.5000
-10131	2	13	15	11	08	-150041	-228	T	-0.8983
-10131	8	9	03	07	18	-150035	-223	P	1.1524
-10130	1	4	18	48	54	-150030	-256	A	0.9540
-10130	6	29	22	59	46	-150024	-251	T	-0.9824
-10130	12	24	22	31	22	-150018	-246	A	0.2147
-10129	6	19	14	46	05	-150012	-241	T	-0.2830
-10129	12	13	22	38	21	-150006	-236	A	-0.5263
-10128	6	8	06	10	03	-150000	-231	T	0.4259
-10128	11	2	14	07	49	-149995	-264	P	1.5305
-10128	12	2	02	37	55	-149994	-226	P	-1.2308
-10127	5	28	16	39	48	-149988	-221	P	1.2046
-10127	10	23	03	42	37	-149983	-254	T	0.7906
-10126	4	18	04	14	45	-149977	-249	A	-0.8961
-10126	10	12	19	36	14	-149971	-244	T	0.1146
-10125	4	7	05	50	33	-149965	-239	A	-0.1220
-10125	10	2	09	07	24	-149959	-234	A	-0.5887
-10124	3	26	13	57	52	-149953	-229	T	0.6512
-10124	9	20	16	08	36	-149947	-224	P	-1.3352
-10123	2	14	22	17	47	-149942	-257	P	-1.1244
-10123	3	16	04	41	32	-149941	-219	P	1.3620
-10123	8	10	20	39	49	-149936	-252	P	1.0441
-10122	2	4	15	13	29	-149930	-247	T	-0.3981
-10122	7	30	23	01	18	-149924	-242	A	0.3289
-10121	1	25	03	51	27	-149918	-237	H	0.3809
-10121	7	20	08	47	43	-149912	-232	T	-0.3774
-10120	1	14	09	13	37	-149906	-227	P	1.1879
-10120	7	8	23	46	40	-149900	-222	P	-1.0354
-10120	12	3	18	13	41	-149895	-255	A	-0.9586
-10119	5	30	04	49	28	-149889	-250	T	0.9437
-10119	11	23	00	06	46	-149883	-245	A	-0.1873
-10118	5	19	13	25	39	-149877	-240	A	0.2267
-10118	11	12	12	48	49	-149871	-235	T	0.5323
-10117	5	8	15	18	47	-149865	-230	A	-0.5242
-10117	10	3	18	29	30	-149860	-263	P	-1.4669
-10117	11	2	04	51	05	-149859	-225	P	1.2031
-10116	3	28	02	49	30	-149854	-258	P	1.5290
-10116	4	26	15	56	55	-149853	-220	P	-1.2507
-10116	9	22	06	25	54	-149848	-253	A	-0.8462
-10115	3	17	13	05	18	-149842	-248	T	0.6981
-10115	9	11	11	12	24	-149836	-243	A	-0.1739
-10114	3	7	05	01	26	-149830	-238	T	-0.0738
-10114	8	31	10	23	47	-149824	-233	A	0.5026
-10113	2	24	22	18	15	-149818	-228	T	-0.8249
-10113	8	20	11	16	17	-149812	-223	P	1.1527
-10112	1	16	01	34	11	-149807	-256	P	1.0273
-10112	7	10	07	21	43	-149801	-251	T	-0.9922
-10111	1	4	04	58	06	-149795	-246	A	0.2861
-10111	6	29	23	05	02	-149789	-241	T	-0.3026
-10111	12	24	05	17	22	-149783	-236	A	-0.4639
-10110	6	19	14	07	52	-149777	-231	T	0.3995
-10110	12	13	09	52	47	-149771	-226	P	-1.1800
-10109	6	9	00	02	32	-149765	-221	P	1.1706
-10109	11	3	12	03	16	-149760	-254	T	0.8057
-10108	4	28	10	34	17	-149754	-249	A	-0.9698
-10108	10	23	04	05	41	-149748	-244	T	0.1241
-10107	4	17	12	21	28	-149742	-239	A	-0.1977
-10107	10	12	17	28	13	-149736	-234	A	-0.5870
-10106	4	6	20	53	55	-149730	-229	T	0.5751
-10106	10	2	00	10	51	-149724	-224	P	-1.3384
-10105	2	26	05	28	43	-149719	-257	P	-1.1986
-10105	3	27	11	52	14	-149718	-219	P	1.2872
-10105	8	22	04	35	11	-149713	-252	P	1.0403
-10104	2	15	22	17	40	-149707	-247	T	-0.4749
-10104	8	10	07	14	48	-149701	-242	A	0.3257
-10103	2	4	10	33	02	-149695	-237	H	0.3050
-10103	7	30	17	18	49	-149689	-232	T	-0.3753
-10102	1	24	15	32	47	-149683	-227	P	1.1133
-10102	7	20	08	19	34	-149677	-222	P	-1.0279
-10102	12	15	01	08	05	-149672	-255	?	-1.0070
-10101	6	10	12	33	05	-149666	-250	A	0.9800
-10101	12	4	07	37	43	-149660	-245	H	-0.2256
-10100	5	29	20	31	47	-149654	-240	A	0.2736
-10100	11	22	20	49	46	-149648	-235	T	0.5017
-10099	5	18	21	57	09	-149642	-230	A	-0.4660
-10099	10	14	03	01	17	-149637	-263	P	-1.4745
-10099	11	12	13	05	40	-149636	-225	P	1.1830
-10098	5	7	22	37	14	-149630	-220	P	-1.1851
-10098	10	3	14	45	19	-149625	-253	A	-0.8477
-10097	3	28	20	04	04	-149619	-248	T	0.7709
-10097	9	22	19	11	38	-149613	-243	A	-0.1718
-10096	3	17	12	11	57	-149607	-238	T	0.0028
-10096	9	10	18	17	59	-149601	-233	A	0.5053
-10095	3	7	05	22	47	-149595	-228	T	-0.7498
-10095	8	30	19	29	16	-149589	-223	P	1.1552
-10094	1	26	08	11	37	-149584	-256	P	1.1058
-10094	7	21	15	51	07	-149578	-251	T	-0.9967
-10093	1	15	11	18	01	-149572	-246	A	0.3627
-10093	7	11	07	31	21	-149566	-241	T	-0.3158
-10092	1	4	11	48	46	-149560	-236	A	-0.3944
-10092	6	29	22	13	18	-149554	-231	T	0.3801
-10092	12	23	17	00	48	-149548	-226	P	-1.1225
-10091	6	19	07	33	11	-149542	-221	P	1.1436
-10091	11	13	20	16	03	-149537	-254	T	0.8279
-10090	5	9	17	04	05	-149531	-249	P	-1.0351
-10090	11	3	12	27	20	-149525	-244	T	0.1400
-10089	4	28	19	01	15	-149519	-239	A	-0.2672
-10089	10	24	01	40	47	-149513	-234	A	-0.5794
-10088	4	17	03	57	36	-149507	-229	T	0.5042
-10088	10	12	08	04	04	-149501	-224	P	-1.3352
-10087	3	8	12	39	55	-149496	-257	P	-1.2726
-10087	4	6	19	08	43	-149495	-219	P	1.2165
-10087	9	1	12	32	35	-149490	-252	P	1.0351
-10086	2	26	05	19	12	-149484	-247	T	-0.5531
-10086	8	21	15	33	19	-149478	-242	A	0.3194
-10085	2	15	17	08	45	-149472	-237	H	0.2253
-10085	8	11	01	56	43	-149466	-232	T	-0.3781
-10084	2	4	21	42	30	-149460	-227	P	1.0311
-10084	7	30	17	00	13	-149454	-222	P	-1.0268
-10084	12	25	07	53	29	-149449	-255	P	-1.0636
-10083	6	20	20	24	50	-149443	-250	P	1.0085
-10083	12	14	15	01	47	-149437	-245	H	-0.2707
-10082	6	10	03	46	08	-149431	-240	A	0.3129
-10082	12	4	04	44	08	-149425	-235	T	0.4654
-10081	5	30	04	43	26	-149419	-230	A	-0.4143
-10081	10	25	11	27	11	-149414	-263	P	-1.4863
-10081	11	23	21	12	38	-149413	-225	P	1.1573
-10080	5	18	05	27	22	-149407	-220	P	-1.1264
-10080	10	13	22	56	58	-149402	-253	A	-0.8546
-10079	4	8	03	09	47	-149396	-248	T	0.8387
-10079	10	3	03	04	51	-149390	-243	A	-0.1741
-10078	3	28	19	26	48	-149384	-238	T	0.0758
-10078	9	22	02	09	15	-149378	-233	A	0.5054
-10077	3	18	12	28	30	-149372	-228	T	-0.6762
-10077	9	11	03	42	27	-149366	-223	P	1.1572
-10076	2	6	14	40	44	-149361	-256	P	1.1893
-10076	3	7	01	37	09	-149360	-218	P	-1.4941
-10076	8	1	00	27	58	-149355	-251	T	-0.9957
-10075	1	25	17	29	23	-149349	-246	A	0.4453
-10075	7	21	16	05	07	-149343	-241	T	-0.3226
-10074	1	14	18	13	37	-149337	-236	A	-0.3189
-10074	7	11	06	27	15	-149331	-231	H	0.3689
-10073	1	4	00	01	38	-149325	-226	P	-1.0578
-10073	6	30	15	12	18	-149319	-221	P	1.1243
-10073	11	25	04	20	10	-149314	-254	T	0.8576
-10072	5	19	23	43	09	-149308	-249	P	-1.0928
-10072	11	13	20	38	59	-149302	-244	T	0.1640
-10071	5	9	01	51	40	-149296	-239	A	-0.3289
-10071	11	3	09	44	45	-149290	-234	A	-0.5657
-10070	4	28	11	08	52	-149284	-229	T	0.4385
-10070	10	23	15	50	10	-149278	-224	P	-1.3268
-10069	3	19	19	51	53	-149273	-257	P	-1.3457
-10069	4	18	02	29	49	-149272	-219	P	1.1494
-10069	9	12	20	30	46	-149267	-252	P	1.0300
-10068	3	8	12	17	47	-149261	-247	T	-0.6330
-10068	8	31	23	54	38	-149255	-242	A	0.3119
-10067	2	25	23	40	42	-149249	-237	A	0.1433
-10067	8	21	10	37	02	-149243	-232	T	-0.3821
-10066	2	15	03	49	38	-149237	-227	A	0.9468
-10066	8	11	01	45	00	-149231	-222	P	-1.0290
-10065	1	5	14	32	34	-149226	-255	P	-1.1257
-10065	7	2	04	24	01	-149220	-250	P	1.0300
-10065	12	25	22	18	02	-149214	-245	T	-0.3235
-10064	6	20	11	09	36	-149208	-240	A	0.3435
-10064	12	14	12	28	19	-149202	-235	T	0.4200
-10063	6	9	11	42	03	-149196	-230	A	-0.3726
-10063	11	4	19	43	30	-149191	-263	P	-1.5056
-10063	12	4	05	09	34	-149190	-225	P	1.1236
-10062	5	29	12	29	13	-149184	-220	P	-1.0760
-10062	10	25	07	00	21	-149179	-253	A	-0.8674
-10061	4	19	10	21	44	-149173	-248	T	0.9022
-10061	10	14	10	51	12	-149167	-243	A	-0.1813
-10060	4	8	02	44	07	-149161	-238	T	0.1467
-10060	10	2	09	57	33	-149155	-233	A	0.5028
-10059	3	28	19	34	51	-149149	-228	T	-0.6041
-10059	9	21	11	54	58	-149143	-223	P	1.1579
-10058	2	16	21	05	24	-149138	-256	P	1.2748
-10058	3	18	08	15	49	-149137	-218	P	-1.4218
-10058	8	12	09	10	22	-149132	-251	T	-0.9906
-10057	2	5	23	35	16	-149126	-246	A	0.5322
-10057	8	2	00	44	36	-149120	-241	T	-0.3246
-10056	1	26	00	33	58	-149114	-236	A	-0.2386
-10056	7	21	14	47	05	-149108	-231	H	0.3632
-10055	1	14	06	57	49	-149102	-226	A	-0.9877
-10055	7	10	22	59	02	-149096	-221	P	1.1118
-10055	12	5	12	16	34	-149091	-254	T	0.8943
-10054	5	31	06	32	43	-149085	-249	P	-1.1421
-10054	11	25	04	41	57	-149079	-244	T	0.1949
-10053	5	20	08	53	17	-149073	-239	A	-0.3822
-10053	11	14	17	36	40	-149067	-234	A	-0.5427
-10052	5	8	18	30	04	-149061	-229	T	0.3799
-10052	11	2	23	24	36	-149055	-224	P	-1.3098
-10051	3	30	03	06	59	-149050	-257	P	-1.4165
-10051	4	28	09	58	46	-149049	-219	P	1.0882
-10051	9	23	04	25	54	-149044	-252	P	1.0280
-10050	3	19	19	16	50	-149038	-247	T	-0.7116
-10050	9	12	08	17	14	-149032	-242	A	0.3046
-10049	3	9	06	08	13	-149026	-237	A	0.0586
-10049	9	1	19	20	59	-149020	-232	T	-0.3886
-10048	2	26	09	51	15	-149014	-227	A	0.8580
-10048	8	21	10	33	30	-149008	-222	P	-1.0345
-10047	1	15	21	04	56	-149003	-255	P	-1.1939
-10047	7	12	12	31	05	-148997	-250	P	1.0442
-10046	1	5	05	29	12	-148991	-245	T	-0.3816
-10046	7	1	18	40	14	-148985	-240	A	0.3674
-10046	12	25	20	06	50	-148979	-235	T	0.3693
-10045	6	20	18	49	50	-148973	-230	A	-0.3382
-10045	11	16	03	50	29	-148968	-263	P	-1.5319
-10045	12	15	12	57	09	-148967	-225	P	1.0828
-10044	6	8	19	42	33	-148961	-220	P	-1.0340
-10044	11	4	14	53	37	-148956	-253	A	-0.8876
-10043	4	29	17	42	33	-148950	-248	T	0.9590
-10043	10	24	18	28	03	-148944	-243	A	-0.1956
-10042	4	19	10	08	25	-148938	-238	T	0.2117
-10042	10	13	17	39	48	-148932	-233	A	0.4950
-10041	4	9	02	43	41	-148926	-228	T	-0.5349
-10041	10	2	20	04	24	-148920	-223	P	1.1552
-10040	2	28	03	25	16	-148915	-256	P	1.3625
-10040	3	28	14	54	40	-148914	-218	P	-1.3505
-10040	8	22	17	55	42	-148909	-251	T	-0.9838
-10039	2	16	05	36	38	-148903	-246	A	0.6221
-10039	8	12	09	29	13	-148897	-241	T	-0.3222
-10038	2	5	06	50	43	-148891	-236	A	-0.1545
-10038	8	1	23	12	36	-148885	-231	H	0.3631
-10037	1	25	13	49	18	-148879	-226	T	-0.9125
-10037	7	22	06	53	12	-148873	-221	P	1.1063
-10037	12	16	20	02	52	-148868	-254	T	0.9397
-10036	6	10	13	33	27	-148862	-249	P	-1.1825
-10036	12	5	12	34	31	-148856	-244	T	0.2339
-10035	5	30	16	05	58	-148850	-239	A	-0.4274
-10035	11	25	01	18	41	-148844	-234	A	-0.5127
-10034	5	20	02	00	42	-148838	-229	T	0.3286
-10034	11	14	06	49	58	-148832	-224	P	-1.2859
-10033	4	10	10	24	10	-148827	-257	P	-1.4853
-10033	5	9	17	33	26	-148826	-219	P	1.0316
-10033	10	4	12	18	37	-148821	-252	P	1.0285
-10032	3	30	02	16	17	-148815	-247	T	-0.7889
-10032	9	22	16	37	36	-148809	-242	A	0.3000
-10031	3	19	12	36	06	-148803	-237	A	-0.0246
-10031	9	12	04	04	10	-148797	-232	T	-0.3939
-10030	3	8	15	53	16	-148791	-227	A	0.7695
-10030	9	1	19	22	23	-148785	-222	P	-1.0406
-10029	1	27	03	34	16	-148780	-255	P	-1.2651
-10029	2	25	16	41	13	-148779	-217	P	1.5168
-10029	7	23	20	44	16	-148774	-250	P	1.0526
-10028	1	16	12	33	28	-148768	-245	T	-0.4465
-10028	7	12	02	19	53	-148762	-240	A	0.3829
-10027	1	5	03	36	59	-148756	-235	T	0.3108
-10027	7	1	02	08	45	-148750	-230	A	-0.3129
-10027	12	25	20	35	35	-148744	-225	P	1.0348
-10026	6	20	03	08	41	-148738	-220	?	-1.0011
-10026	11	15	22	36	06	-148733	-253	A	-0.9154
-10025	5	11	01	10	56	-148727	-248	P	1.0101
-10025	11	5	01	55	42	-148721	-243	A	-0.2169
-10024	4	29	17	38	04	-148715	-238	T	0.2719
-10024	10	24	01	14	50	-148709	-233	A	0.4809
-10023	4	19	09	56	32	-148703	-228	T	-0.4699
-10023	10	13	04	10	11	-148697	-223	P	1.1487
-10022	3	10	09	42	58	-148692	-256	P	1.4504
-10022	4	8	21	34	47	-148691	-218	P	-1.2811
-10022	9	3	02	43	00	-148686	-251	T	-0.9758
-10021	2	27	11	36	11	-148680	-246	A	0.7131
-10021	8	23	18	16	14	-148674	-241	T	-0.3173
-10020	2	16	13	05	11	-148668	-236	A	-0.0676
-10020	8	12	07	41	34	-148662	-231	A	0.3669
-10019	2	4	20	39	10	-148656	-226	T	-0.8348
-10019	8	1	14	51	25	-148650	-221	P	1.1050
-10019	12	27	03	42	28	-148645	-254	T	0.9907
-10018	1	25	10	52	34	-148644	-216	P	-1.5292
-10018	6	21	20	45	27	-148639	-249	P	-1.2135
-10018	12	16	20	17	13	-148633	-244	T	0.2807
-10017	6	10	23	30	20	-148627	-239	A	-0.4640
-10017	12	6	08	48	06	-148621	-234	A	-0.4733
-10016	5	30	09	42	29	-148615	-229	T	0.2855
-10016	11	24	14	01	22	-148609	-224	P	-1.2513
-10015	5	20	01	18	06	-148603	-219	T	0.9832
-10015	10	14	20	05	20	-148598	-252	P	1.0344
-10014	4	10	09	17	50	-148592	-247	T	-0.8633
-10014	10	4	00	55	37	-148586	-242	A	0.2983
-10013	3	30	19	03	17	-148580	-237	A	-0.1071
-10013	9	23	12	46	16	-148574	-232	T	-0.3977
-10012	3	18	21	53	34	-148568	-227	A	0.6795
