25	3	18	06	30	05		-24425	88	P	-1.29858					
25	8	12	03	11	18		-24420	55	P	-1.50195					
25	9	10	17	56	05		-24419	93	P	1.35648					
26	2	6	10	27	28		-24414	60	A	0.63475					
26	8	1	12	56	17		-24408	65	T	-0.69431					
27	1	26	16	02	46		-24402	70	A	-0.07710					
27	7	22	04	29	34		-24396	75	T	0.06009					
28	1	15	15	45	00		-24390	80	H	-0.77693					
28	7	10	21	29	17		-24384	85	H	0.79692					
28	12	5	00	59	50		-24379	52	P	1.48323					
29	1	3	16	40	25		-24378	90	P	-1.42770					
29	6	1	00	34	11		-24373	57	P	-1.06859					
29	11	24	12	15	52		-24367	62	T	0.74233					
30	5	21	04	11	29		-24361	67	A	-0.31905					
30	11	14	03	37	54		-24355	72	T	0.06432					
31	5	10	04	47	21		-24349	77	A	0.44540					
31	11	3	18	27	12		-24343	82	T	-0.62414					
32	3	29	23	10	26		-24338	49	P	-1.48788					
32	4	28	09	42	36		-24337	87	P	1.18162					
32	9	23	12	27	00		-24332	54	P	1.53476					
32	10	23	04	12	53		-24331	92	P	-1.37743					
33	3	19	13	40	41		-24326	59	T	-0.71704					
33	9	12	12	48	01		-24320	64	H	0.85746					
34	3	9	06	21	12		-24314	69	T	-0.00465					
34	9	1	13	52	52		-24308	74	A	0.12018					
35	2	26	20	30	25		-24302	79	H	0.73959					
35	8	21	21	44	22		-24296	84	H	-0.62024					
36	1	17	11	07	18		-24291	51	P	-1.43317					
36	2	16	04	04	12		-24290	89	P	1.52380					
36	7	12	04	46	56		-24285	56	P	1.22447					
36	8	10	12	08	54		-24284	94	P	-1.30574					
37	1	5	10	17	30		-24279	61	H	-0.76046					
37	7	1	21	23	49		-24273	66	T	0.51272					
37	12	25	12	48	03		-24267	71	A	-0.04598					
38	6	21	09	34	45		-24261	76	H	-0.25960					
38	12	14	22	34	10		-24255	81	H	0.64252					
39	6	10	14	34	51		-24249	86	P	-1.06562					
39	11	5	02	46	45		-24244	53	P	-1.40086					
