Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-2755	8	13	04	55	55	0	P	—	—	20S	14E
-2754	1	08	00	47	31	0	Pen	—	—	25N	99E
-2754	7	04	12	09	38	0	P	—	—	24S	79E
-2754	12	28	05	32	21	0	T	—	—	23N	164E
-2753	6	23	22	00	11	0	T	—	—	22S	141W
-2753	12	17	17	17	31	0	T	—	—	21N	42W
-2752	6	12	00	53	42	0	P	—	—	19S	107W
-2752	12	06	08	48	46	0	Pen	—	—	18N	172W
-2751	5	02	12	33	07	0	Pen	—	—	8S	33E
-2751	6	01	01	37	20	0	Pen	—	—	16S	103W
-2751	10	27	10	13	35	0	Pen	—	—	6N	163E
-2750	4	21	21	56	26	0	P	—	—	4S	157E
-2750	10	16	15	39	18	0	T	—	—	1N	118W
-2749	4	11	13	18	20	0	T	—	—	1N	11E
-2749	10	05	15	13	40	0	T	—	—	5S	144W
-2748	3	31	06	29	48	0	P	—	—	6N	104W
-2748	9	23	15	57	01	0	P	—	—	10S	140W
-2747	2	19	09	34	42	0	Pen	—	—	18N	83W
-2747	8	14	12	40	01	0	Pen	—	—	20S	135E
-2746	2	08	13	14	00	0	T	—	—	21N	49W
-2746	8	04	04	42	57	0	T	—	—	22S	5E
-2745	1	28	13	01	29	0	T	—	—	23N	61W
-2745	7	24	20	33	12	0	T	—	—	24S	126W
-2744	1	17	16	26	49	0	Pen	—	—	25N	26W
-2744	7	13	07	40	22	0	Pen	—	—	25S	29E
-2744	12	07	16	11	25	0	P	—	—	18N	66W
-2743	6	02	20	33	30	0	P	—	—	17S	176W
-2743	11	27	07	52	45	0	T	—	—	16N	163E
-2742	5	22	22	06	40	0	T	—	—	14S	173W
-2742	11	16	21	22	45	0	T	—	—	13N	12W
-2741	5	12	05	54	40	0	P	—	—	11S	63W
-2741	11	06	04	33	35	0	Pen	—	—	10N	97E
-2740	4	01	13	39	12	0	Pen	—	—	6N	17E
-2740	4	30	20	21	15	0	Pen	—	—	8S	136E
-2740	9	25	09	39	44	0	Pen	—	—	9S	132E
-2739	3	22	06	27	56	0	T	—	—	9N	113W
-2739	9	14	12	07	03	0	P	—	—	13S	151E
-2738	3	11	19	10	16	0	T	—	—	12N	71E
-2738	9	03	21	58	36	0	T	—	—	16S	70W
-2737	3	01	00	38	35	0	Pen	—	—	15N	151E
-2737	8	24	13	10	07	0	P	—	—	18S	145E
-2736	1	19	08	21	33	0	Pen	—	—	25N	145W
-2736	7	14	19	37	37	0	P	—	—	25S	150W
-2735	1	07	13	38	47	0	T	—	—	24N	66W
-2735	7	04	04	53	28	0	T	—	—	24S	26W
-2735	12	28	01	50	35	0	T	—	—	23N	104E
-2734	6	23	07	20	38	0	P	—	—	21S	7W
-2734	12	17	17	32	38	0	Pen	—	—	20N	27W
-2733	5	13	19	09	15	0	Pen	—	—	12S	133E
-2733	6	12	08	06	43	0	Pen	—	—	19S	3W
-2733	11	07	18	46	56	0	Pen	—	—	10N	51W
-2732	5	02	05	00	57	0	P	—	—	8S	87W
-2732	10	26	23	47	19	0	T	—	—	5N	13E
-2731	4	21	20	40	50	0	T	—	—	3S	142E
-2731	10	15	23	09	27	0	T	—	—	0N	13W
-2730	4	11	13	53	28	0	P	—	—	2N	27E
-2730	10	05	00	04	01	0	P	—	—	5S	9W
-2729	3	02	16	50	09	0	Pen	—	—	14N	32E
-2729	8	25	20	50	12	0	Pen	—	—	17S	94W
-2728	2	19	20	14	47	0	T	—	—	18N	66E
-2728	8	14	12	50	06	0	T	—	—	21S	135E
-2727	2	07	20	12	20	0	T	—	—	22N	55E
-2727	8	04	04	20	38	0	T	—	—	23S	10W
-2726	1	28	00	11	13	0	Pen	—	—	24N	104E
-2726	7	24	14	54	23	0	Pen	—	—	25S	144E
-2726	12	19	00	53	25	0	P	—	—	21N	80E
-2725	6	14	02	54	05	0	P	—	—	19S	76W
-2725	12	08	16	40	56	0	T	—	—	19N	51W
-2724	6	02	04	38	21	0	T	—	—	17S	57W
-2724	11	27	05	59	34	0	T	—	—	17N	134E
-2723	5	22	12	54	08	0	P	—	—	15S	52E
-2723	11	16	12	47	48	0	Pen	—	—	14N	132W
-2722	4	12	21	06	20	0	Pen	—	—	2N	133E
-2722	5	12	03	40	01	0	Pen	—	—	12S	93W
-2722	10	06	17	32	29	0	Pen	—	—	4S	98W
-2721	4	02	13	53	11	0	P	—	—	5N	18E
-2721	9	25	20	13	37	0	P	—	—	9S	79W
-2720	3	22	02	17	22	0	T	—	—	8N	173W
-2720	9	14	06	21	10	0	T	—	—	12S	61E
-2719	3	11	07	24	31	0	Pen	—	—	12N	109W
-2719	9	03	21	33	59	0	P	—	—	15S	70W
-2718	1	29	15	45	21	0	Pen	—	—	24N	14W
-2718	7	26	03	12	40	0	Pen	—	—	25S	34W
-2717	1	18	21	37	52	0	T	—	—	24N	65E
-2717	7	15	11	52	56	0	T	—	—	24S	90E
-2716	1	08	10	18	20	0	T	—	—	24N	125W
-2716	7	03	13	51	53	0	T	—	—	23S	109E
-2716	12	28	02	12	02	0	Pen	—	—	22N	104E
-2715	6	22	14	41	34	0	Pen	—	—	21S	113E
-2715	11	18	03	19	26	0	Pen	—	—	14N	80E
-2714	5	13	12	07	03	0	P	—	—	12S	28E
-2714	11	07	07	56	29	0	T	—	—	10N	144E
-2713	5	03	04	02	55	0	T	—	—	7S	102W
-2713	10	27	07	08	06	0	T	—	—	5N	118E
-2712	4	21	21	14	06	0	P	—	—	2S	143E
-2712	10	15	08	16	22	0	P	—	—	1S	122E
-2711	3	12	23	54	48	0	Pen	—	—	11N	148E
-2711	4	11	11	01	49	0	Pen	—	—	2N	18W
-2711	9	05	05	09	53	0	Pen	—	—	14S	37E
-2710	3	02	03	04	45	0	T	—	—	15N	178W
-2710	8	25	21	06	02	0	T	—	—	18S	94W
-2709	2	19	03	14	06	0	T	—	—	19N	171E
-2709	8	15	12	16	33	0	T	—	—	21S	121E
-2708	2	08	07	47	08	0	Pen	—	—	22N	125W
-2708	8	03	22	15	35	0	Pen	—	—	24S	100W
-2708	12	29	09	29	13	0	P	—	—	22N	149W
-2707	6	24	09	19	43	0	Pen	—	—	21S	25E
-2707	12	19	01	22	47	0	T	—	—	22N	80E
-2706	6	13	11	16	04	0	T	—	—	20S	44E
-2706	12	08	14	32	38	0	T	—	—	20N	80W
-2705	6	02	19	57	04	0	P	—	—	18S	168E
-2705	11	27	21	00	25	0	Pen	—	—	17N	1W
-2704	4	23	04	30	00	0	Pen	—	—	2S	111W
-2704	5	22	10	59	05	0	Pen	—	—	15S	23E
-2704	10	17	01	31	43	0	Pen	—	—	0N	33E
-2703	4	12	21	11	13	0	P	—	—	1N	134E
-2703	10	06	04	29	08	0	P	—	—	4S	52E
-2702	4	02	09	16	42	0	T	—	—	4N	57W
-2702	9	25	14	51	12	0	T	—	—	8S	153W
-2701	3	22	14	03	50	0	P	—	—	8N	7E
-2701	9	15	06	05	02	0	P	—	—	11S	61E
-2700	2	09	23	02	23	0	Pen	—	—	22N	102E
-2700	8	05	10	53	45	0	Pen	—	—	24S	97E
-2699	1	29	05	29	54	0	T	—	—	23N	179W
-2699	7	25	18	59	11	0	T	—	—	24S	154W
-2698	1	18	18	37	00	0	T	—	—	23N	20E
-2698	7	14	20	32	12	0	T	—	—	24S	135W
-2697	1	08	10	43	23	0	Pen	—	—	23N	110W
-2697	7	03	21	24	54	0	Pen	—	—	22S	146W
-2697	11	29	11	48	02	0	Pen	—	—	18N	135W
-2696	5	23	19	15	01	0	P	—	—	15S	144E
-2696	11	17	16	04	13	0	T	—	—	14N	86W
-2695	5	13	11	23	08	0	T	—	—	11S	14E
-2695	11	06	15	10	04	0	T	—	—	9N	112W
-2694	5	03	04	30	51	0	P	—	—	7S	87W
-2694	10	26	16	33	53	0	P	—	—	4N	93W
-2693	3	24	06	50	49	0	Pen	—	—	7N	96W
-2693	4	22	17	58	42	0	Pen	—	—	2S	98E
-2693	9	16	13	38	12	0	Pen	—	—	10S	177W
-2692	3	12	09	45	30	0	P	—	—	11N	62W
-2692	9	05	05	29	28	0	T	—	—	15S	37E
-2691	3	01	10	08	15	0	T	—	—	16N	73W
-2691	8	25	20	19	40	0	T	—	—	19S	108W
-2690	2	18	15	15	59	0	P	—	—	20N	9W
-2690	8	15	05	44	35	0	Pen	—	—	22S	31E
-2689	1	09	17	59	25	0	P	—	—	23N	4W
-2689	7	05	15	51	59	0	Pen	—	—	23S	141E
-2689	12	30	09	59	11	0	T	—	—	23N	134W
-2688	6	23	18	00	51	0	T	—	—	22S	160E
-2688	12	18	22	58	30	0	T	—	—	22N	50E
-2687	6	13	03	05	45	0	T	—	—	20S	76W
-2687	12	08	05	06	51	0	Pen	—	—	21N	130E
-2686	5	04	11	52	47	0	Pen	—	—	7S	20E
-2686	6	02	18	22	19	0	Pen	—	—	18S	139E
-2686	10	28	09	33	41	0	Pen	—	—	5N	164E
-2685	4	24	04	26	06	0	P	—	—	3S	111W
-2685	10	17	12	50	41	0	P	—	—	1N	162W
-2684	4	12	16	08	06	0	T	—	—	0N	59E
-2684	10	05	23	28	53	0	T	—	—	4S	23W
-2683	4	01	20	33	21	0	P	—	—	4N	123E
-2683	9	25	14	44	09	0	P	—	—	7S	153W
-2682	2	20	06	09	30	0	Pen	—	—	19N	142W
-2682	8	16	18	43	37	0	Pen	—	—	22S	132W
-2682	9	15	05	59	34	0	Pen	—	—	10S	62E
-2681	2	09	13	14	26	0	T	—	—	21N	48W
-2681	8	06	02	11	45	0	T	—	—	23S	38W
-2680	1	30	02	49	29	0	T	—	—	22N	151E
-2680	7	25	03	19	35	0	T	—	—	23S	34W
-2679	1	18	19	06	48	0	P	—	—	23N	21E
-2679	7	14	04	16	19	0	Pen	—	—	23S	30W
-2679	12	09	20	12	37	0	Pen	—	—	21N	4W
-2678	6	04	02	27	27	0	P	—	—	19S	100W
-2678	11	29	00	08	47	0	T	—	—	17N	45E
-2677	5	24	18	45	56	0	T	—	—	15S	145E
-2677	11	17	23	12	02	0	T	—	—	13N	19E
-2676	5	13	11	45	53	0	P	—	—	11S	29E
-2676	11	06	00	54	17	0	P	—	—	8N	38E
-2675	4	03	13	38	38	0	Pen	—	—	3N	20E
-2675	5	03	00	51	24	0	Pen	—	—	6S	146W
-2675	9	26	22	13	52	0	Pen	—	—	6S	47W
-2674	3	23	16	17	28	0	P	—	—	8N	39E
-2674	9	16	14	01	14	0	T	—	—	11S	177W
-2673	3	12	16	55	11	0	T	—	—	12N	43E
-2673	9	06	04	30	00	0	T	—	—	15S	37E
-2672	2	29	22	37	29	0	P	—	—	16N	122E
-2672	8	25	13	21	38	0	P	—	—	19S	147E
-2671	1	20	02	20	15	0	P	—	—	23N	127E
-2671	7	15	22	32	44	0	Pen	—	—	23S	103W
-2670	1	09	18	27	12	0	T	—	—	24N	3W
-2670	7	05	00	54	17	0	T	—	—	23S	84W
-2670	12	30	07	17	28	0	T	—	—	24N	179W
-2669	6	24	10	21	04	0	T	—	—	22S	40E
-2669	12	19	13	08	41	0	Pen	—	—	23N	100W
-2668	5	14	19	13	26	0	Pen	—	—	10S	135E
-2668	6	13	01	47	25	0	Pen	—	—	21S	91W
-2668	11	07	17	39	59	0	Pen	—	—	9N	65W
-2667	5	04	11	36	48	0	P	—	—	7S	20E
-2667	10	27	21	16	59	0	P	—	—	5N	31W
-2666	4	23	22	54	37	0	T	—	—	4S	174E
-2666	10	17	08	11	54	0	T	—	—	1N	123E
-2665	4	13	02	58	24	0	P	—	—	0S	136W
-2665	10	06	23	27	53	0	P	—	—	3S	22W
-2664	3	02	13	10	59	0	Pen	—	—	16N	27W
-2664	4	01	03	31	40	0	Pen	—	—	3N	132W
-2664	8	27	02	39	59	0	Pen	—	—	19S	2W
-2664	9	25	14	28	45	0	Pen	—	—	6S	168W
-2663	2	19	20	50	47	0	T	—	—	19N	83E
-2663	8	16	09	33	07	0	P	—	—	21S	93E
-2662	2	09	10	52	53	0	T	—	—	21N	78W
-2662	8	05	10	17	11	0	T	—	—	22S	81E
-2661	1	30	03	21	01	0	P	—	—	22N	152E
-2661	7	25	11	19	06	0	P	—	—	23S	85E
-2661	12	21	04	30	00	0	Pen	—	—	23N	142E
-2660	6	14	09	43	46	0	P	—	—	21S	31E
-2660	12	09	08	08	52	0	T	—	—	20N	176E
-2659	6	04	02	10	01	0	T	—	—	18S	100W
-2659	11	28	07	12	08	0	T	—	—	17N	150E
-2658	5	24	19	00	37	0	P	—	—	14S	145E
-2658	11	17	09	16	50	0	P	—	—	12N	169E
-2657	4	14	20	19	40	0	Pen	—	—	2S	120E
-2657	5	14	07	40	47	0	Pen	—	—	10S	31W
-2657	10	08	06	56	00	0	Pen	—	—	2S	99E
-2656	4	02	22	43	06	0	P	—	—	3N	154E
-2656	9	26	22	39	38	0	P	—	—	7S	31W
-2655	3	22	23	35	31	0	T	—	—	8N	158E
-2655	9	16	12	47	48	0	T	—	—	11S	168E
-2654	3	12	05	53	57	0	P	—	—	13N	123W
-2654	9	05	21	05	36	0	P	—	—	16S	82W
-2653	1	31	10	34	36	0	Pen	—	—	21N	87W
-2653	3	01	19	03	12	0	Pen	—	—	17N	62E
-2653	7	27	05	23	08	0	Pen	—	—	22S	3W
-2652	1	21	02	47	28	0	T	—	—	23N	143E
-2652	7	15	07	56	38	0	P	—	—	24S	31E
-2651	1	09	15	26	55	0	T	—	—	24N	48W
-2651	7	04	17	44	35	0	T	—	—	24S	171E
-2651	12	29	21	00	17	0	Pen	—	—	24N	31E
-2650	5	26	02	36	23	0	Pen	—	—	14S	94W
-2650	6	24	09	19	35	0	P	—	—	23S	25E
-2650	11	19	01	45	59	0	Pen	—	—	13N	66E
-2649	5	15	18	45	47	0	P	—	—	11S	136E
-2649	11	08	05	45	35	0	P	—	—	9N	115E
-2648	5	04	05	35	57	0	T	—	—	8S	70W
-2648	10	27	16	59	05	0	T	—	—	6N	91W
-2647	4	23	09	16	16	0	P	—	—	4S	36W
-2647	10	17	08	17	39	0	P	—	—	2N	124E
-2646	3	13	20	04	33	0	Pen	—	—	13N	89E
-2646	4	12	09	56	35	0	Pen	—	—	1S	32W
-2646	9	07	10	44	06	0	Pen	—	—	15S	129E
-2646	10	06	23	03	33	0	Pen	—	—	2S	22W
-2645	3	03	04	20	55	0	P	—	—	16N	162W
-2645	8	27	17	02	15	0	P	—	—	18S	152W
-2644	2	20	18	49	06	0	T	—	—	18N	53E
-2644	8	15	17	23	25	0	T	—	—	21S	163W
-2643	2	09	11	27	01	0	P	—	—	20N	78W
-2643	8	04	18	31	58	0	P	—	—	22S	144W
-2643	12	31	12	39	35	0	Pen	—	—	25N	87W
-2642	6	25	17	07	35	0	Pen	—	—	23S	147E
-2642	12	20	16	03	04	0	T	—	—	23N	53W
-2641	6	15	09	38	00	0	T	—	—	21S	31E
-2641	12	09	15	09	21	0	T	—	—	20N	79W
-2640	6	04	02	16	39	0	T	—	—	18S	99W
-2640	11	27	17	37	32	0	P	—	—	16N	45W
-2639	4	25	02	54	57	0	Pen	—	—	6S	124W
-2639	5	24	14	29	28	0	Pen	—	—	14S	70E
-2639	10	18	15	43	12	0	Pen	—	—	3N	115W
-2638	4	14	05	03	50	0	P	—	—	1S	105W
-2638	10	08	07	23	13	0	P	—	—	2S	100E
-2637	4	03	06	11	48	0	T	—	—	4N	101W
-2637	9	27	21	12	14	0	T	—	—	7S	61W
-2636	3	22	13	03	38	0	P	—	—	9N	7W
-2636	9	16	04	58	04	0	P	—	—	12S	48E
-2635	2	10	18	39	27	0	Pen	—	—	19N	44E
-2635	3	12	02	41	16	0	Pen	—	—	13N	167W
-2635	8	06	12	24	11	0	Pen	—	—	21S	113E
-2634	1	31	10	57	30	0	T	—	—	22N	87W
-2634	7	26	15	10	04	0	P	—	—	23S	147E
-2633	1	20	23	28	10	0	T	—	—	24N	83E
-2633	7	16	01	15	18	0	T	—	—	24S	74W
-2632	1	10	04	45	07	0	Pen	—	—	25N	162E
-2632	7	04	16	56	12	0	P	—	—	24S	156E
-2632	11	29	09	51	15	0	Pen	—	—	16N	163W
-2631	5	26	01	53	36	0	P	—	—	15S	108W
-2631	11	18	14	15	47	0	P	—	—	13N	114W
-2630	5	15	12	16	07	0	T	—	—	12S	31E
-2630	11	08	01	47	34	0	T	—	—	10N	55E
-2629	5	04	15	33	24	0	P	—	—	9S	80E
-2629	10	28	17	09	44	0	P	—	—	6N	90W
-2628	3	24	02	53	13	0	Pen	—	—	9N	155W
-2628	4	22	16	19	12	0	Pen	—	—	5S	69E
-2628	9	17	18	55	00	0	Pen	—	—	12S	100W
-2628	10	17	07	42	23	0	Pen	—	—	3N	124E
-2627	3	13	11	44	35	0	P	—	—	12N	31W
-2627	9	07	00	40	01	0	P	—	—	15S	21W
-2626	3	03	02	37	14	0	T	—	—	15N	176W
-2626	8	27	00	41	19	0	T	—	—	18S	32W
-2625	2	20	19	23	57	0	P	—	—	17N	53E
-2625	8	16	01	55	55	0	P	—	—	20S	28W
-2624	1	11	20	39	59	0	Pen	—	—	25N	44E
-2624	7	06	00	38	00	0	Pen	—	—	25S	83W
-2624	8	04	10	09	15	0	Pen	—	—	21S	81E
-2624	12	30	23	48	20	0	T	—	—	24N	78E
-2623	6	25	17	10	36	0	T	—	—	23S	147E
-2623	12	19	23	01	40	0	T	—	—	22N	52E
-2622	6	15	09	34	50	0	T	—	—	20S	32E
-2622	12	09	01	56	29	0	P	—	—	19N	86E
-2621	5	06	09	26	47	0	Pen	—	—	10S	23W
-2621	6	04	21	18	08	0	Pen	—	—	17S	174W
-2621	10	30	00	34	33	0	Pen	—	—	7N	31E
-2620	4	24	11	19	06	0	P	—	—	5S	4W
-2620	10	18	16	11	51	0	P	—	—	2N	115W
-2619	4	13	12	44	12	0	T	—	—	0S	15E
-2619	10	08	05	41	34	0	T	—	—	3S	85E
-2618	4	02	20	10	27	0	P	—	—	5N	109E
-2618	9	27	12	56	35	0	P	—	—	8S	179E
-2617	2	22	02	37	49	0	Pen	—	—	17N	175E
-2617	3	23	10	15	10	0	Pen	—	—	9N	51W
-2617	8	17	19	34	19	0	Pen	—	—	19S	116W
-2616	2	11	18	59	19	0	T	—	—	20N	44E
-2616	8	05	22	33	44	0	P	—	—	22S	82W
-2615	1	31	07	17	11	0	T	—	—	23N	146W
-2615	7	26	08	56	15	0	T	—	—	24S	57E
-2614	1	20	12	18	08	0	Pen	—	—	25N	82W
-2614	7	16	00	40	53	0	P	—	—	25S	73W
-2614	12	10	17	52	04	0	Pen	—	—	19N	33W
-2613	6	06	09	02	52	0	P	—	—	18S	7E
-2613	11	29	22	44	58	0	P	—	—	17N	31E
-2612	5	25	18	53	08	0	T	—	—	15S	147E
-2612	11	18	10	37	20	0	T	—	—	14N	159W
-2611	5	14	21	47	31	0	P	—	—	12S	179W
-2611	11	08	02	03	50	0	P	—	—	11N	55E
-2610	4	04	09	37	09	0	Pen	—	—	4N	39W
-2610	5	03	22	40	47	0	Pen	—	—	9S	175W
-2610	9	29	03	12	48	0	Pen	—	—	7S	31E
-2610	10	28	16	24	48	0	Pen	—	—	7N	105W
-2609	3	24	19	03	38	0	P	—	—	8N	85E
-2609	9	18	08	24	51	0	P	—	—	11S	95E
-2608	3	13	10	19	20	0	T	—	—	11N	61W
-2608	9	06	08	08	26	0	T	—	—	14S	84E
-2607	3	03	03	12	05	0	P	—	—	14N	176W
-2607	8	26	09	31	06	0	P	—	—	17S	103E
-2606	1	22	04	31	00	0	Pen	—	—	24N	175E
-2606	7	17	08	16	47	0	Pen	—	—	25S	33E
-2606	8	15	18	01	00	0	Pen	—	—	19S	148W
-2605	1	11	07	25	40	0	T	—	—	24N	166W
-2605	7	07	00	49	32	0	T	—	—	24S	82W
-2605	12	31	06	47	22	0	T	—	—	23N	178W
-2604	6	25	16	56	12	0	T	—	—	22S	147E
-2604	12	19	10	10	42	0	P	—	—	21N	144W
-2603	6	15	04	09	15	0	Pen	—	—	20S	58W
-2603	11	09	09	26	38	0	Pen	—	—	12N	162E
-2603	12	08	20	46	19	0	Pen	—	—	18N	11E
-2602	5	05	17	33	30	0	P	—	—	9S	112E
-2602	10	30	01	03	12	0	P	—	—	7N	31E
-2601	4	24	19	14	52	0	T	—	—	4S	116E
-2601	10	19	14	15	04	0	T	—	—	2N	144W
-2600	4	13	03	13	23	0	P	—	—	0N	135W
-2600	10	07	21	01	35	0	P	—	—	3S	50W
-2599	3	04	10	26	24	0	Pen	—	—	13N	70W
-2599	4	02	17	42	08	0	Pen	—	—	5N	79E
-2599	8	28	02	56	24	0	Pen	—	—	16S	0W
-2598	2	22	02	51	47	0	T	—	—	17N	175E
-2598	8	17	06	08	12	0	P	—	—	20S	34E
-2597	2	11	14	57	15	0	T	—	—	21N	16W
-2597	8	06	16	46	07	0	T	—	—	22S	172W
-2596	1	31	19	41	57	0	Pen	—	—	23N	49E
-2596	7	26	08	32	03	0	P	—	—	24S	58E
-2596	12	21	01	49	43	0	Pen	—	—	21N	98E
-2595	6	16	16	14	09	0	Pen	—	—	20S	123E
-2595	7	16	00	55	52	0	Pen	—	—	26S	73W
-2595	12	10	07	11	08	0	P	—	—	20N	162E
-2594	6	06	01	32	35	0	T	—	—	18S	97W
-2594	11	29	19	25	40	0	T	—	—	17N	28W
-2593	5	26	04	03	04	0	P	—	—	16S	78W
-2593	11	19	10	57	21	0	P	—	—	15N	159W
-2592	4	14	16	19	03	0	Pen	—	—	0N	61E
-2592	5	14	05	03	50	0	Pen	—	—	13S	75W
-2592	10	09	11	35	13	0	Pen	—	—	3S	177E
-2592	11	08	01	07	14	0	Pen	—	—	11N	41E
-2591	4	04	02	17	57	0	P	—	—	4N	159W
-2591	9	28	16	17	11	0	P	—	—	7S	134W
-2590	3	24	17	55	32	0	T	—	—	7N	70E
-2590	9	17	15	44	38	0	T	—	—	11S	145W
-2589	3	14	10	52	27	0	P	—	—	10N	45W
-2589	9	06	17	17	31	0	P	—	—	14S	141W
-2588	2	02	12	10	04	0	Pen	—	—	23N	70W
-2588	7	27	16	04	04	0	Pen	—	—	25S	164E
-2588	8	26	02	03	33	0	Pen	—	—	17S	17W
-2587	1	21	14	52	04	0	P	—	—	24N	36W
-2587	7	17	08	34	56	0	T	—	—	24S	49E
-2586	1	10	14	25	26	0	T	—	—	24N	62W
-2586	7	07	00	22	36	0	T	—	—	23S	97W
-2586	12	30	18	21	10	0	P	—	—	23N	13W
-2585	6	26	11	01	40	0	Pen	—	—	22S	57E
-2585	11	20	18	19	52	0	Pen	—	—	16N	52W
-2585	12	20	05	24	17	0	Pen	—	—	21N	142E
-2584	5	15	23	46	19	0	P	—	—	13S	148W
-2584	11	09	09	56	00	0	P	—	—	11N	177E
-2583	5	05	01	45	07	0	T	—	—	9S	129W
-2583	10	29	22	50	44	0	T	—	—	6N	2E
-2582	4	24	10	16	27	0	P	—	—	4S	19W
-2582	10	19	05	08	52	0	P	—	—	1N	81E
-2581	3	15	18	10	13	0	Pen	—	—	10N	61E
-2581	4	14	01	07	49	0	Pen	—	—	1N	165W
-2581	9	08	10	27	41	0	Pen	—	—	13S	115E
-2580	3	04	10	34	45	0	P	—	—	14N	54W
-2580	8	27	13	53	36	0	P	—	—	17S	164E
-2579	2	21	22	25	14	0	T	—	—	18N	100E
-2579	8	17	00	46	30	0	T	—	—	20S	41W
-2578	2	11	02	53	22	0	Pen	—	—	21N	164E
-2578	8	06	16	33	01	0	P	—	—	23S	172W
-2577	1	01	09	40	45	0	Pen	—	—	23N	131W
-2577	6	27	23	28	19	0	Pen	—	—	22S	121W
-2577	7	27	08	39	24	0	Pen	—	—	25S	58E
-2577	12	21	15	33	41	0	P	—	—	22N	52W
-2576	6	16	08	12	54	0	T	—	—	21S	3E
-2576	12	10	04	10	50	0	T	—	—	20N	118E
-2575	6	05	10	19	55	0	T	—	—	19S	22E
-2575	11	29	19	49	35	0	P	—	—	18N	13W
-2574	5	25	11	29	28	0	Pen	—	—	16S	26E
-2574	10	20	20	01	23	0	Pen	—	—	2N	53W
-2574	11	19	09	49	23	0	Pen	—	—	16N	173W
-2573	4	15	09	30	23	0	P	—	—	0S	28W
-2573	10	10	00	15	15	0	P	—	—	2S	3W
-2572	4	04	01	25	58	0	T	—	—	3N	174W
-2572	9	27	23	29	45	0	T	—	—	7S	30W
-2571	3	24	18	25	37	0	P	—	—	7N	71E
-2571	9	17	01	13	26	0	P	—	—	10S	11W
-2570	2	12	19	39	04	0	Pen	—	—	21N	61E
-2570	3	14	07	49	26	0	Pen	—	—	10N	90W
-2570	8	08	00	00	51	0	Pen	—	—	23S	65W
-2570	9	06	10	15	35	0	Pen	—	—	13S	114E
-2569	2	01	22	09	41	0	P	—	—	23N	80E
-2569	7	28	16	26	58	0	P	—	—	24S	164E
-2568	1	21	21	56	00	0	T	—	—	23N	69E
-2568	7	17	07	54	37	0	T	—	—	24S	34E
-2567	1	10	02	23	16	0	P	—	—	23N	118E
-2567	7	06	18	00	17	0	P	—	—	23S	173E
-2567	12	01	03	10	13	0	Pen	—	—	19N	93E
-2567	12	30	13	55	29	0	Pen	—	—	22N	73W
-2566	5	27	06	01	52	0	Pen	—	—	17S	47W
-2566	11	20	18	47	05	0	P	—	—	15N	37W
-2565	5	16	08	17	22	0	T	—	—	13S	28W
-2565	11	10	07	27	15	0	T	—	—	11N	132E
-2564	5	04	17	17	13	0	P	—	—	8S	96E
-2564	10	29	13	20	21	0	P	—	—	6N	148W
-2563	3	26	01	45	59	0	Pen	—	—	5N	168W
-2563	4	24	08	29	19	0	Pen	—	—	3S	49W
-2563	9	18	18	09	38	0	Pen	—	—	9S	114W
-2562	3	15	18	09	12	0	P	—	—	10N	62E
-2562	9	07	21	50	06	0	P	—	—	13S	65W
-2561	3	05	05	44	26	0	T	—	—	14N	129W
-2561	8	28	08	55	40	0	T	—	—	17S	90E
-2560	2	22	09	55	52	0	P	—	—	18N	80W
-2560	8	17	00	41	28	0	P	—	—	21S	41W
-2559	1	11	17	24	51	0	Pen	—	—	23N	15W
-2559	7	08	06	47	39	0	Pen	—	—	23S	10E
-2559	8	06	16	30	34	0	Pen	—	—	24S	171W
-2559	12	31	23	51	04	0	P	—	—	23N	79E
-2558	6	27	14	57	50	0	T	—	—	22S	119E
-2558	12	21	12	51	24	0	T	—	—	23N	97W
-2557	6	16	16	41	39	0	T	—	—	21S	138E
-2557	12	11	04	37	37	0	P	—	—	21N	133E
-2556	6	04	17	58	50	0	Pen	—	—	19S	142E
-2556	10	31	04	29	25	0	Pen	—	—	6N	78E
-2556	11	29	18	28	04	0	Pen	—	—	19N	43W
-2555	4	25	16	40	47	0	P	—	—	4S	87E
-2555	10	20	08	16	56	0	P	—	—	2N	127E
-2554	4	15	08	52	47	0	T	—	—	1S	43W
-2554	10	09	07	22	22	0	T	—	—	2S	101E
-2553	4	05	01	51	36	0	P	—	—	2N	159W
-2553	9	28	09	18	43	0	P	—	—	6S	120E
-2552	2	24	02	56	24	0	Pen	—	—	18N	177E
-2552	3	24	14	58	50	0	Pen	—	—	6N	26E
-2552	8	18	08	07	09	0	Pen	—	—	21S	66E
-2552	9	16	18	37	35	0	Pen	—	—	9S	100W
-2551	2	12	05	15	12	0	P	—	—	20N	164W
-2551	8	08	00	27	38	0	P	—	—	23S	65W
-2550	2	01	05	18	23	0	T	—	—	22N	175W
-2550	7	28	15	32	32	0	T	—	—	23S	165E
-2549	1	21	10	20	12	0	P	—	—	23N	111W
-2549	7	18	01	03	04	0	P	—	—	23S	71W
-2549	12	12	11	58	24	0	Pen	—	—	22N	121W
-2548	1	10	22	21	04	0	Pen	—	—	22N	58E
-2548	6	06	12	18	43	0	Pen	—	—	20S	54E
-2548	12	01	03	36	51	0	P	—	—	19N	109E
