Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12925	9	16	-23	-13	-55	0	Pen	—	—	23S	87W
-12925	10	15	-11	-47	-36	0	Pen	—	—	25S	107E
-12924	3	10	-19	-30	-8	0	Pen	—	—	22N	131E
-12924	4	08	-8	-38	-15	0	Pen	—	—	25N	35W
-12924	9	04	-15	-38	-18	0	P	—	—	22S	7E
-12923	2	27	18	51	59	0	P	—	—	20N	14W
-12923	8	24	-15	-1	-26	0	T	—	—	20S	11E
-12922	2	17	12	09	21	0	T	—	—	19N	130W
-12922	8	13	-15	-36	-51	0	P	—	—	17S	15W
-12921	2	07	03	40	53	0	P	—	—	16N	100E
-12921	7	04	-23	-37	-49	0	Pen	—	—	0N	175W
-12921	8	02	-10	-19	-37	0	Pen	—	—	14S	64E
-12921	12	29	00	17	08	0	Pen	—	—	0S	0E
-12920	6	22	-8	-58	-42	0	P	—	—	4N	39E
-12920	12	17	00	59	45	0	T	—	—	4S	4E
-12919	6	12	-17	-22	-50	0	T	—	—	8N	91W
-12919	12	06	03	41	19	0	P	—	—	8S	38E
-12918	6	01	-5	-29	-28	0	P	—	—	11N	78E
-12918	10	27	-20	-11	-36	0	Pen	—	—	22S	1W
-12918	11	25	13	16	53	0	Pen	—	—	11S	162E
-12917	5	21	00	-34	-33	0	Pen	—	—	15N	127E
-12917	10	16	-4	-7	-40	0	P	—	—	24S	132W
-12916	4	10	-16	-47	-51	0	P	—	—	25N	153W
-12916	10	05	-13	-6	-57	0	T	—	—	24S	83E
-12915	3	30	-10	-57	-56	0	T	—	—	25N	74W
-12915	9	24	-3	-36	-43	0	P	—	—	24S	153W
-12914	3	20	-21	-56	-9	0	P	—	—	23N	111E
-12914	9	13	-1	-31	00	0	Pen	—	—	23S	134W
-12913	2	08	12	23	45	0	Pen	—	—	17N	139W
-12913	3	09	-5	00	-23	0	Pen	—	—	21N	5W
-12913	8	04	-20	-27	-36	0	P	—	—	15S	84W
-12912	1	29	02	38	23	0	T	—	—	13N	76E
-12912	7	23	-13	00	-46	0	T	—	—	10S	10E
-12911	1	17	10	08	41	0	T	—	—	8N	170E
-12911	7	13	-23	-22	-16	0	P	—	—	5S	151W
-12910	1	06	11	33	04	0	Pen	—	—	3N	171W
-12910	6	03	-18	-44	-3	0	Pen	—	—	10N	130W
-12910	7	02	-7	-44	-58	0	Pen	—	—	0N	64E
-12910	11	27	00	53	42	0	P	—	—	11S	16W
-12909	5	23	-8	-32	-3	0	P	—	—	14N	9E
-12909	11	16	12	17	51	0	T	—	—	15S	138E
-12908	5	11	-5	-26	-26	0	T	—	—	18N	58E
-12908	11	05	04	14	09	0	P	—	—	19S	8E
-12907	4	30	-5	-39	-7	0	P	—	—	22N	32E
-12907	9	26	-15	-1	-43	0	Pen	—	—	23S	43E
-12907	10	25	-3	-49	-23	0	Pen	—	—	23S	122W
-12906	3	21	-12	-36	-51	0	Pen	—	—	23N	113W
-12906	4	19	-1	-38	-55	0	Pen	—	—	24N	81E
-12906	9	15	-7	-44	-32	0	P	—	—	23S	138E
-12905	3	11	-21	-59	-54	0	P	—	—	22N	102E
-12905	9	04	-7	-18	-11	0	T	—	—	23S	142E
-12904	2	28	19	14	52	0	T	—	—	21N	14W
-12904	8	23	-7	-39	-38	0	P	—	—	21S	116E
-12903	2	17	10	27	50	0	P	—	—	19N	159W
-12903	7	14	-15	-9	-4	0	Pen	—	—	5S	29W
-12903	8	12	-1	-56	-29	0	Pen	—	—	18S	165W
-12902	1	08	06	27	12	0	Pen	—	—	4N	101E
-12902	7	03	00	-25	-3	0	P	—	—	1S	175W
-12902	12	28	07	08	15	0	T	—	—	0N	105E
-12901	6	23	-9	-2	-9	0	T	—	—	3N	40E
-12901	12	17	10	19	20	0	T	—	—	4S	139E
-12900	6	12	-21	-37	-26	0	P	—	—	7N	166W
-12900	11	06	11	35	22	0	Pen	—	—	19S	129E
-12900	12	05	20	30	37	0	Pen	—	—	7S	67W
-12899	6	01	-17	-17	-13	0	Pen	—	—	11N	102W
-12899	10	27	-20	-4	-42	0	P	—	—	22S	1W
-12898	4	21	-10	-6	-57	0	P	—	—	24N	37W
-12898	10	16	-5	-6	-8	0	T	—	—	23S	147W
-12897	4	10	-3	-56	-52	0	T	—	—	24N	42E
-12897	10	06	-19	-52	-27	0	P	—	—	24S	22W
-12896	3	30	-14	-40	-16	0	P	—	—	24N	134W
-12896	9	24	-17	-58	-50	0	Pen	—	—	23S	3W
-12895	2	18	19	25	06	0	Pen	—	—	20N	23W
-12895	3	20	-21	-44	-55	0	Pen	—	—	23N	111E
-12895	8	14	-12	-21	-53	0	P	—	—	18S	46E
-12894	2	08	09	16	42	0	P	—	—	16N	177E
-12894	8	03	-4	-29	-51	0	T	—	—	14S	156E
-12893	1	28	16	16	01	0	T	—	—	12N	89W
-12893	7	24	-14	-40	-24	0	P	—	—	9S	20W
-12892	1	17	17	30	11	0	Pen	—	—	7N	70W
-12892	6	13	-10	-34	-45	0	Pen	—	—	5N	1E
-12892	7	13	-23	-9	-44	0	Pen	—	—	4S	150W
-12892	12	07	07	47	25	0	P	—	—	7S	100E
-12891	6	02	00	-56	-18	0	P	—	—	10N	140E
-12891	11	26	19	46	42	0	T	—	—	11S	91W
-12890	5	23	-22	-24	-14	0	T	—	—	15N	174E
-12890	11	16	12	01	09	0	P	—	—	16S	139E
-12889	5	12	-22	-44	-6	0	P	—	—	19N	148E
-12889	10	07	-6	-59	-54	0	Pen	—	—	23S	174E
-12889	11	06	03	57	27	0	Pen	—	—	20S	8E
-12888	3	31	-5	-34	-39	0	Pen	—	—	23N	3E
-12888	4	30	-18	-27	-21	0	Pen	—	—	22N	148W
-12888	9	25	00	00	-43	0	P	—	—	24S	91W
-12887	3	21	-14	-44	-44	0	P	—	—	23N	143W
-12887	9	15	-23	-42	-17	0	T	—	—	24S	103W
-12886	3	11	-21	-35	-8	0	T	—	—	23N	102E
-12886	9	04	-23	-44	-44	0	P	—	—	23S	114W
-12885	2	28	-6	-46	-13	0	P	—	—	22N	43W
-12885	7	25	-6	-34	-42	0	Pen	—	—	9S	101E
-12885	8	24	-17	-32	-47	0	Pen	—	—	21S	34W
-12884	1	19	12	29	39	0	Pen	—	—	8N	158W
-12884	7	14	-15	-45	-21	0	P	—	—	5S	44W
-12883	1	07	13	10	50	0	T	—	—	4N	154W
-12883	7	03	00	-34	-42	0	T	—	—	1S	170E
-12883	12	27	16	53	19	0	T	—	—	1N	105W
-12882	6	23	-13	-39	-21	0	P	—	—	3N	35W
-12882	11	17	19	16	10	0	Pen	—	—	16S	115W
-12882	12	17	03	40	01	0	Pen	—	—	3S	49E
-12881	6	12	-9	-51	-59	0	Pen	—	—	7N	14E
-12881	11	07	11	49	12	0	P	—	—	19S	130E
-12880	5	01	-3	-15	-15	0	Pen	—	—	22N	79E
-12880	10	27	-21	-15	-33	0	T	—	—	21S	16W
-12879	4	21	-20	-45	-10	0	T	—	—	23N	158E
-12879	10	16	-12	-18	-17	0	P	—	—	22S	109E
-12878	4	10	-7	-15	-1	0	P	—	—	24N	3W
-12878	10	05	-10	-35	-36	0	Pen	—	—	23S	113E
-12877	3	02	-21	-32	-23	0	Pen	—	—	23N	93E
-12877	3	31	-14	-24	-17	0	Pen	—	—	23N	118W
-12877	8	25	-4	-17	-2	0	P	—	—	21S	177E
-12876	2	19	15	53	34	0	P	—	—	20N	68W
-12876	8	14	-19	-59	-13	0	T	—	—	18S	74W
-12875	2	07	22	21	30	0	T	—	—	16N	12E
-12875	8	03	-5	-56	-41	0	P	—	—	13S	126E
-12874	1	27	23	25	26	0	P	—	—	11N	16E
-12874	7	24	-14	-30	-54	0	Pen	—	—	9S	20W
-12874	12	18	14	35	22	0	Pen	—	—	2S	144W
-12873	6	14	-17	-12	-2	0	P	—	—	6N	89W
-12873	12	08	03	06	11	0	T	—	—	7S	25E
-12872	6	02	-15	-11	-5	0	T	—	—	11N	70W
-12872	11	26	19	38	38	0	P	—	—	12S	90W
-12871	5	22	-15	-37	-26	0	T	—	—	16N	96W
-12871	10	18	-23	-7	-26	0	Pen	—	—	21S	55W
-12871	11	16	11	35	05	0	Pen	—	—	16S	139E
-12870	5	11	-11	-4	-33	0	Pen	—	—	20N	32W
-12870	10	07	-16	-24	-57	0	P	—	—	23S	39E
-12869	4	01	-7	-24	-48	0	P	—	—	24N	12W
-12869	9	26	-16	-12	-17	0	T	—	—	24S	28E
-12868	3	21	-14	-22	-7	0	T	—	—	24N	127W
-12868	9	14	-15	-54	-51	0	P	—	—	25S	17E
-12867	3	11	-23	-57	-33	0	P	—	—	24N	72E
-12867	8	05	-21	-58	-27	0	Pen	—	—	13S	113W
-12867	9	03	-9	-11	-48	0	Pen	—	—	24S	111E
-12866	1	29	18	30	31	0	Pen	—	—	12N	43W
-12866	2	28	-16	-1	-11	0	Pen	—	—	22N	178W
-12866	7	25	-7	-3	-12	0	P	—	—	10S	102E
-12865	1	18	19	11	59	0	P	—	—	8N	54W
-12865	7	15	-16	-3	-4	0	T	—	—	6S	44W
-12864	1	07	23	23	25	0	T	—	—	5N	5W
-12864	7	03	-5	-34	-39	0	P	—	—	2S	96E
-12864	11	28	02	48	02	0	Pen	—	—	12S	16E
-12864	12	27	10	44	06	0	Pen	—	—	1N	165E
