-3918	8	01	20	21	48	103853	P	194.2	—	23S	127E
-3917	1	26	17	59	25	103836	T	203.4	76.1	24N	166E
-3917	7	21	22	36	35	103819	T	224.5	95.2	24S	92E
-3916	1	16	07	00	33	103801	Pen	—	—	25N	30W
-3916	7	10	08	06	14	103784	P	99.8	—	24S	52W
-3916	12	05	19	11	54	103770	Pen	—	—	16N	144E
-3915	5	31	16	21	23	103752	P	88.5	—	13S	175W
-3915	11	24	18	22	18	103735	P	207.8	—	13N	156E
-3914	5	21	08	27	21	103718	T	212.8	91.3	10S	57W
-3914	11	13	22	15	18	103700	T	216.0	83.9	9N	98E
-3913	5	10	19	17	20	103683	P	184.7	—	7S	141E
-3913	11	03	09	19	57	103666	P	90.5	—	5N	68W
-3912	3	30	08	18	14	103651	Pen	—	—	10N	48W
-3912	4	28	23	00	44	103648	Pen	—	—	3S	86E
-3912	9	23	13	41	24	103634	Pen	—	—	13S	131W
-3912	10	23	00	32	37	103631	Pen	—	—	1N	64E
-3911	3	19	10	14	07	103617	P	173.6	—	14N	77W
-3911	9	13	02	32	00	103599	P	193.1	—	16S	36E
-3910	3	08	18	39	00	103582	T	218.2	97.8	16N	157E
-3910	9	02	08	43	56	103565	T	225.2	90.2	19S	58W
-3909	2	26	09	18	56	103547	P	116.2	—	18N	63W
-3909	8	22	08	53	35	103530	P	76.5	—	21S	61W
-3908	1	17	17	16	21	103516	Pen	—	—	25N	175E
-3908	7	11	19	43	39	103499	Pen	—	—	25S	133E
-3907	1	06	04	27	28	103481	T	211.7	68.9	24N	6E
-3907	7	01	07	17	30	103464	T	194.8	39.8	22S	41W
-3907	12	26	08	11	27	103446	T	215.5	52.5	21N	51W
-3906	6	20	23	37	00	103429	T	202.4	78.3	19S	73E
-3906	12	15	07	30	41	103412	Pen	—	—	18N	42W
-3905	5	12	07	45	36	103397	Pen	—	—	8S	47W
-3905	6	10	16	06	55	103395	Pen	—	—	16S	174W
-3905	11	04	19	19	15	103380	Pen	—	—	6N	141E
-3904	4	30	16	37	14	103363	P	130.2	—	4S	179W
-3904	10	24	07	59	57	103346	T	190.2	30.5	1N	49W
-3903	4	19	18	48	37	103328	T	235.8	105.6	1N	150E
-3903	10	13	23	34	09	103311	T	206.4	87.6	4S	78E
-3902	4	08	20	02	19	103294	P	166.8	—	6N	133E
-3902	10	03	13	19	38	103276	P	92.9	—	9S	128W
-3901	2	27	17	41	17	103262	Pen	—	—	18N	170E
-3901	3	29	03	02	24	103259	Pen	—	—	11N	29E
-3901	8	24	04	01	12	103245	Pen	—	—	20S	11E
-3900	2	17	09	21	11	103227	T	189.9	34.2	21N	65W
-3900	8	12	03	37	05	103210	P	187.4	—	22S	16E
-3899	2	06	01	56	13	103193	T	206.4	82.8	23N	45E
-3899	8	01	06	02	40	103175	T	225.4	98.7	24S	22W
-3898	1	26	14	45	47	103158	Pen	—	—	25N	148W
-3898	7	21	15	50	21	103141	P	117.4	—	25S	170W
-3898	12	17	02	55	26	103126	Pen	—	—	19N	26E
-3897	6	11	23	51	56	103109	P	48.3	—	16S	69E
-3897	7	11	07	15	44	103106	Pen	—	—	25S	42W
-3897	12	06	02	18	08	103092	P	206.7	—	16N	35E
-3896	5	31	15	39	12	103074	T	209.5	81.9	14S	168W
-3896	11	24	06	39	35	103057	T	215.6	84.2	13N	31W
-3895	5	21	01	57	11	103040	P	196.9	—	11S	38E
-3895	11	13	18	07	23	103022	P	90.8	—	10N	157E
-3894	4	10	14	31	30	103008	Pen	—	—	6N	146W
-3894	5	10	05	13	30	103005	Pen	—	—	7S	11W
-3894	10	04	22	27	35	102991	Pen	—	—	9S	94E
-3894	11	03	09	27	11	102988	Pen	—	—	6N	73W
-3893	3	30	16	50	51	102973	P	156.1	—	10N	180W
-3893	9	24	10	55	29	102956	P	192.5	—	12S	93W
-3892	3	19	01	50	26	102939	T	219.1	100.9	13N	46E
-3892	9	12	16	36	04	102921	T	226.3	91.9	15S	178W
-3891	3	08	16	54	02	102904	P	133.9	—	16N	180E
-3891	9	01	16	25	36	102887	P	91.2	—	18S	176W
-3890	1	28	01	16	03	102872	Pen	—	—	25N	53E
-3890	2	26	09	54	07	102870	Pen	—	—	18N	75W
-3890	7	23	03	10	13	102855	Pen	—	—	25S	20E
-3890	8	21	17	20	59	102852	Pen	—	—	20S	169E
-3889	1	17	12	12	54	102838	T	209.6	60.0	24N	112W
-3889	7	12	14	59	17	102821	P	188.9	—	24S	159W
-3888	1	06	15	43	32	102803	T	218.4	62.3	23N	166W
-3888	7	01	07	18	29	102786	T	205.5	86.1	22S	44W
-3888	12	25	15	10	13	102769	Pen	—	—	21N	159W
-3887	6	20	23	32	07	102751	P	59.7	—	19S	72E
-3887	11	15	03	53	48	102737	Pen	—	—	10N	9E
-3886	5	11	23	06	43	102720	P	94.8	—	8S	80E
-3886	11	04	16	51	38	102702	T	190.4	33.1	6N	175E
-3885	5	01	01	00	58	102685	T	233.5	100.2	3S	53E
-3885	10	25	08	26	26	102668	T	206.4	87.3	0N	58W
-3884	4	19	02	28	42	102650	P	183.7	—	2N	32E
-3884	10	13	21	56	57	102633	P	90.5	—	5S	100E
-3883	3	10	01	04	32	102619	Pen	—	—	15N	56E
-3883	4	08	09	59	32	102616	Pen	—	—	7N	79W
-3883	9	03	11	40	06	102601	Pen	—	—	17S	106W
-3882	2	27	17	03	56	102584	P	183.8	—	18N	177E
-3882	8	23	11	04	02	102567	P	181.7	—	21S	98W
-3881	2	17	09	41	37	102549	T	209.4	89.2	21N	73W
-3881	8	12	13	41	35	102532	T	225.6	100.5	23S	138W
-3880	2	06	22	19	55	102515	P	41.5	—	24N	97E
-3880	7	31	23	43	50	102498	P	129.8	—	25S	70E
-3880	12	27	10	31	43	102483	Pen	—	—	21N	90W
-3879	6	22	07	26	19	102466	Pen	—	—	19S	48W
-3879	7	21	15	11	39	102463	Pen	—	—	26S	163W
-3879	12	16	10	08	51	102448	P	204.9	—	19N	85W
