Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12905	9	04	16	41	48	T	—	—	23S	115W
-12904	2	28	19	14	52	T	—	—	21N	57E
-12904	8	23	16	20	21	P	—	—	21S	128W
-12903	2	17	10	27	50	P	—	—	19N	46E
-12903	7	14	08	50	55	Pen	—	—	5S	167W
-12903	8	12	22	03	30	Pen	—	—	18S	139W
-12902	1	08	06	27	12	Pen	—	—	4N	10E
-12902	7	03	23	34	56	P	—	—	1S	177W
-12902	12	28	07	08	15	T	—	—	0N	0E
-12901	6	23	14	57	50	T	—	—	3N	173E
-12901	12	17	10	19	20	T	—	—	4S	10W
-12900	6	12	02	22	33	P	—	—	7N	162E
-12900	11	06	11	35	22	Pen	—	—	19S	46W
-12900	12	05	20	30	37	Pen	—	—	7S	20W
-12899	6	01	06	42	46	Pen	—	—	11N	152E
-12899	10	27	03	55	17	P	—	—	22S	57W
-12898	4	21	13	53	02	P	—	—	24N	112E
-12898	10	16	18	53	51	T	—	—	23S	69W
-12897	4	10	20	03	07	T	—	—	24N	100E
-12897	10	06	04	07	32	P	—	—	24S	81W
-12896	3	30	09	19	43	P	—	—	24N	88E
-12896	9	24	06	01	09	Pen	—	—	23S	93W
-12895	2	18	19	25	06	Pen	—	—	20N	47E
-12895	3	20	02	15	04	Pen	—	—	23N	77E
-12895	8	14	11	38	06	P	—	—	18S	137W
-12894	2	08	09	16	42	P	—	—	16N	37E
-12894	8	03	19	30	08	T	—	—	14S	148W
-12893	1	28	16	16	01	T	—	—	12N	28E
-12893	7	24	09	19	35	P	—	—	9S	159W
-12892	1	17	17	30	11	Pen	—	—	7N	18E
-12892	6	13	13	25	14	Pen	—	—	5N	163E
-12892	7	13	00	50	15	Pen	—	—	4S	168W
-12892	12	07	07	47	25	P	—	—	7S	18W
-12891	6	02	23	03	41	P	—	—	10N	154E
-12891	11	26	19	46	42	T	—	—	11S	28W
-12890	5	23	01	35	45	T	—	—	15N	143E
-12890	11	16	12	01	09	P	—	—	16S	37W
-12889	5	12	01	15	53	P	—	—	19N	132E
-12889	10	07	17	00	05	Pen	—	—	23S	79W
-12889	11	06	03	57	27	Pen	—	—	20S	48W
-12888	3	31	18	25	20	Pen	—	—	23N	90E
-12888	4	30	05	32	38	Pen	—	—	22N	121E
-12888	9	25	23	59	16	P	—	—	24S	91W
